#********mc_data: L-24.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
24.000000	4.332979	4.208772	LEADING		0.072579	0.166180
24.000000	4.560520	4.088849	TRAILING	0.112715	0.194587
24.000000	4.383673	3.806858	TRAILING	0.120018	0.206863
24.000000	4.533542	4.079394	TRAILING	0.121195	0.209608
24.000000	4.404927	3.963183	TRAILING	0.152411	0.264760
24.000000	4.197368	3.650663	LEADING		0.042403	0.100258
24.000000	4.474403	3.917363	TRAILING	0.137307	0.236462
24.000000	4.474403	3.917363	LEADING		0.099155	0.236462
24.000000	4.484929	3.930516	TRAILING	0.137039	0.235974
24.000000	4.118770	4.450690	LEADING		0.009791	0.021373
24.000000	4.340991	3.921011	TRAILING	0.149799	0.260996
24.000000	4.399978	3.812364	LEADING		0.087099	0.207760
24.000000	3.990094	4.079433	LEADING		0.040286	0.089469
24.000000	4.152124	4.309938	LEADING		0.030570	0.067851
24.000000	4.346373	4.328763	LEADING		0.040057	0.090977
24.000000	4.090191	3.892682	TRAILING	0.089837	0.159772
24.000000	4.292520	4.046869	TRAILING	0.140117	0.247155
24.000000	4.863967	3.960491	TRAILING	0.029617	0.049627
24.000000	4.393289	3.996454	TRAILING	0.153004	0.266602
24.000000	3.983791	4.078425	TRAILING	0.047656	0.086738
24.000000	4.202994	3.894034	LEADING		0.094358	0.218412
24.000000	4.303380	3.881959	LEADING		0.104491	0.244990
24.000000	4.638969	4.019864	LEADING		0.067794	0.163455
24.000000	4.768719	3.632981	TRAILING	0.014083	0.023356
24.000000	4.393427	4.245273	TRAILING	0.082325	0.145639
24.000000	4.462099	3.834217	LEADING		0.085344	0.204644
24.000000	3.937944	4.215856	TRAILING	0.021860	0.040376
24.000000	4.613519	4.040848	TRAILING	0.103090	0.176713
24.000000	4.466226	4.270685	TRAILING	0.071206	0.125277
24.000000	4.089285	4.111384	LEADING		0.058006	0.129981
24.000000	4.419578	4.252566	TRAILING	0.079526	0.140394
24.000000	4.166888	4.057753	TRAILING	0.106743	0.190639
24.000000	4.265202	4.243380	TRAILING	0.072921	0.130618
24.000000	4.317519	3.731984	TRAILING	0.093676	0.161578
24.000000	4.799825	3.857059	TRAILING	0.035305	0.059124
24.000000	4.459906	4.166402	TRAILING	0.109709	0.191956
24.000000	4.540354	4.012594	TRAILING	0.126883	0.218497
24.000000	4.353700	3.734773	LEADING		0.068090	0.162658
24.000000	4.492604	3.653572	TRAILING	0.052896	0.089528
24.000000	4.643292	3.903547	TRAILING	0.085682	0.145453
24.000000	4.446569	4.141631	TRAILING	0.119307	0.208701
24.000000	4.752015	4.034465	LEADING		0.041108	0.100277
24.000000	4.350528	4.202666	TRAILING	0.097289	0.172369
24.000000	4.262272	4.211202	TRAILING	0.084000	0.150186
24.000000	4.450829	4.050298	TRAILING	0.142066	0.247084
24.000000	4.318623	4.189659	LEADING		0.077233	0.176797
24.000000	4.203108	4.269296	LEADING		0.044557	0.099875
24.000000	4.872717	4.504033	TRAILING	0.003796	0.006497
24.000000	4.313712	3.727623	TRAILING	0.091961	0.158625
24.000000	4.313712	3.727623	LEADING		0.066664	0.158625
24.000000	4.397349	3.905245	LEADING		0.107114	0.253417
24.000000	4.365111	4.230773	TRAILING	0.087128	0.154421
24.000000	4.365111	4.230773	LEADING		0.067293	0.154421
24.000000	3.939717	4.051949	LEADING		0.032443	0.071803
24.000000	4.509368	3.942123	LEADING		0.095437	0.228060
24.000000	4.356762	4.106303	TRAILING	0.132189	0.232661
24.000000	4.215071	3.757568	TRAILING	0.093730	0.163355
24.000000	4.014492	4.077693	TRAILING	0.056060	0.101727
24.000000	4.076856	3.735877	TRAILING	0.061104	0.107621
24.000000	4.348804	3.920168	TRAILING	0.149946	0.261059
24.000000	3.986626	4.120347	LEADING		0.035443	0.078396
24.000000	4.001535	3.885625	TRAILING	0.061439	0.110101
24.000000	4.450154	3.898913	TRAILING	0.138486	0.238714
24.000000	4.266945	4.335190	TRAILING	0.043585	0.078536
24.000000	3.823244	3.588665	LEADING		0.006895	0.015714
24.000000	4.861895	4.110829	LEADING		0.020705	0.050860
24.000000	4.346296	4.038791	LEADING		0.111491	0.259283
24.000000	3.902467	4.175065	LEADING		0.017718	0.038616
24.000000	4.288486	3.808005	LEADING		0.087935	0.207146
24.000000	4.490238	3.532002	TRAILING	0.023536	0.039538
24.000000	4.305198	3.811489	TRAILING	0.121620	0.211078
24.000000	4.252627	4.007354	LEADING		0.105897	0.244167
24.000000	3.709276	3.623690	TRAILING	0.004442	0.008017
24.000000	4.276717	3.880171	TRAILING	0.136887	0.239221
24.000000	4.531892	3.979317	TRAILING	0.129330	0.222452
24.000000	4.531892	3.979317	LEADING		0.093121	0.222452
24.000000	4.225696	3.993424	TRAILING	0.132981	0.235192
24.000000	4.591628	4.436179	TRAILING	0.020420	0.035818
24.000000	4.562505	3.501640	LEADING		0.009789	0.024443
24.000000	4.548803	4.501366	LEADING		0.009784	0.022519
24.000000	4.845979	3.862626	TRAILING	0.026748	0.044673
24.000000	3.875689	3.760859	TRAILING	0.024617	0.044221
24.000000	4.551504	3.796194	LEADING		0.061139	0.148558
24.000000	4.707553	4.308600	TRAILING	0.033507	0.057746
24.000000	4.371237	4.149267	TRAILING	0.118527	0.208890
24.000000	4.305607	4.085154	TRAILING	0.133215	0.235270
24.000000	4.305607	4.085154	LEADING		0.102055	0.235270
24.000000	4.287589	4.026883	LEADING		0.108820	0.251544
24.000000	4.641388	4.087288	TRAILING	0.089757	0.153876
24.000000	4.346789	3.916027	LEADING		0.110621	0.259930
24.000000	4.423514	3.672455	LEADING		0.046990	0.113775
24.000000	4.767034	4.166623	TRAILING	0.045594	0.077658
24.000000	4.060112	3.667498	TRAILING	0.043835	0.076948
24.000000	4.060112	3.667498	LEADING		0.033114	0.076948
24.000000	4.129878	3.362423	TRAILING	0.006143	0.010491
24.000000	4.411277	3.739121	TRAILING	0.092577	0.158531
24.000000	4.341169	4.421560	TRAILING	0.026354	0.047395
24.000000	3.900232	3.542096	TRAILING	0.010778	0.019011
24.000000	4.094077	3.452346	LEADING		0.009056	0.021567
24.000000	4.076394	3.950931	LEADING		0.068588	0.155636
24.000000	4.183045	3.893543	TRAILING	0.118623	0.209217
24.000000	4.021324	3.360686	TRAILING	0.004498	0.007749
24.000000	4.048221	4.241041	TRAILING	0.035671	0.065283
24.000000	4.461496	3.893238	LEADING		0.097580	0.232821
24.000000	4.339515	3.999712	LEADING		0.114244	0.266334
24.000000	4.878558	3.826971	TRAILING	0.018813	0.031306
24.000000	4.065894	4.057856	TRAILING	0.074358	0.134079
24.000000	4.161558	3.960615	LEADING		0.089609	0.205210
24.000000	4.277203	4.039848	TRAILING	0.138720	0.244925
24.000000	4.586078	3.973223	LEADING		0.080105	0.192650
24.000000	3.918616	4.237026	TRAILING	0.017303	0.032073
24.000000	3.927244	3.724846	TRAILING	0.030015	0.053529
24.000000	4.626140	4.442556	TRAILING	0.017864	0.031236
24.000000	4.222495	4.017321	TRAILING	0.129633	0.229700
24.000000	4.347568	4.110077	TRAILING	0.130446	0.229844
24.000000	4.261866	3.766555	LEADING		0.075754	0.178557
24.000000	3.925273	3.765167	LEADING		0.026418	0.059904
24.000000	4.334707	4.285900	LEADING		0.050724	0.115435
24.000000	4.214874	4.085171	TRAILING	0.114427	0.203815
24.000000	4.150604	3.765897	TRAILING	0.084165	0.147590
24.000000	4.840693	4.134991	LEADING		0.022780	0.055746
24.000000	4.235522	3.809728	TRAILING	0.112912	0.197121
24.000000	4.823093	4.005708	LEADING		0.027346	0.067345
24.000000	4.504905	4.138760	TRAILING	0.112756	0.196165
24.000000	3.977467	4.368392	LEADING		0.009386	0.020283
24.000000	4.434567	4.120254	TRAILING	0.127063	0.222232
24.000000	4.434567	4.120254	LEADING		0.095169	0.222232
24.000000	4.116030	3.869651	TRAILING	0.095730	0.169586
24.000000	4.640304	3.814528	LEADING		0.047403	0.116127
