#State	time	PE_b1	PE_m1	PE_t	PE_m2	PE_b2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	fx1	fy1	fx2	fy2	fx3	fy3	fx4	fy4	fx5	fy5
2	0.0073	0.06	0.015	3.5e-05	0.013	0.056	0	0	5.65685	8.83403	-4.60304	30.309	6.05651	9.02958	0.717341	0	0.018703	-0.0119764	-0.0232494	0.00980438	0.00901533	0.00441072	-0.0226021	0.00848339	0.0181331	-0.0107221
2	0.0074	0.031	0.014	2.1e-05	0.017	0.028	0	0	2.70956	10.134	-3.62826	33.0746	3.04336	10.2289	0.717341	0	-0.00369136	0.000986968	0.00861145	0.000372307	-0.0100501	-0.0028574	0.010279	0.000327257	-0.00514897	0.00117086
2	0.0075	0.014	0.16	0.00027	0.12	0.017	0	0	0.116355	10.4894	1.0911	34.2694	1.35155	10.4708	0.717341	0	-0.0329285	0.000365264	0.0501112	-0.00106959	-0.0313781	0.00054897	0.0417753	-0.00151515	-0.0275799	0.0016705
2	0.0076	0.043	1.6e-05	2.6e-05	4e-05	0.039	0	0	4.10128	9.65503	-4.59715	31.8085	4.46047	9.79944	0.717341	0	0.00846468	-0.00359565	-0.00849174	0.00358502	-9.24804e-05	-3.85706e-05	-0.0072289	0.0028561	0.00734844	-0.00280691
2	0.0077	0.059	5.4e-05	5e-05	5.2e-05	0.056	0	0	5.56512	8.89211	0.291472	32.1005	6.0806	9.01529	0.717341	0	0.00934393	-0.00584789	-0.00946261	0.00582092	0.000594191	0.000146213	-0.00975297	0.00539999	0.00927746	-0.00551923
2	0.0078	0.027	0.0082	4.4e-06	0.0042	0.023	0	0	2.14126	10.2691	-13.9627	27.7935	2.25717	10.3764	0.717341	0	0.0152414	-0.00317804	-0.0179972	0.000645571	0.00478295	0.00442023	-0.0144451	-4.49629e-05	0.012418	-0.0018428
2	0.0079	0.039	0.0049	3.1e-05	0.006	0.036	0	0	3.69248	9.81864	-2.60178	32.7713	4.09264	9.93214	0.717341	0	0.0016093	-0.000605205	0.00138074	0.00142516	-0.00597854	-0.00169592	0.00231113	0.00110616	0.000677372	-0.000230195
2	0.008	0.039	0.012	1.4e-05	0.0082	0.034	0	0	3.65591	9.83232	-10.381	29.0522	3.88365	10.0007	0.717341	0	0.0176359	-0.00655747	-0.0212677	0.00390501	0.00676203	0.00499614	-0.0189172	0.00265462	0.0157871	-0.0049983
2	0.0081	0.016	0.0066	6.9e-09	0.0022	0.012	0	0	0.428063	10.4813	-18.0574	25.4722	0.432	10.4861	0.717341	0	0.0131048	-0.000535209	-0.0152508	-0.0021111	0.00339782	0.00419072	-0.0104858	-0.00179568	0.00923407	0.000251271
2	0.0082	0.025	0.029	1.5e-05	0.034	0.022	0	0	1.91138	10.3144	-3.87224	33.401	2.19032	10.3861	0.717341	0	-0.00927385	0.00171856	0.0162858	3.80759e-05	-0.0144201	-0.00370806	0.0185736	0.000367898	-0.0111656	0.00158353
